Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,ID
Rhythm Tengoku,GBA,2006.0,Misc,Nintendo,,,,,,,5851
Super Robot Taisen W,Nintendo DS,2007.0,Strategy,Banpresto,,,,,,,5852
Cart World Series,PS,1997.0,Racing,Sony Computer Entertainment,,,,,,,5853
Shrek: Forever After,Nintendo DS,2010.0,Platform,Activision,,,,,,,5854
Batman: Arkham VR,Sony PS4,2016.0,Action,Warner Bros. Interactive Entertainment,75.0,59.0,7.3,89.0,Rocksteady Studios,M,5855
Lumines ll,Sony PSP,2006.0,Puzzle,Disney Interactive Studios,,,,,,,5856
24: The Game,PS2,2006.0,Adventure,Sony Computer Entertainment,62.0,53.0,8.2,40.0,SCE Studio Cambridge,M,5857
The Dukes of Hazzard II: Daisy Dukes It Out,PS,,Racing,Unknown,53.0,5.0,,,Sinister Games,E,5858
Famista '91,NES,1990.0,Sports,Namco Bandai Games,,,,,,,5859
Madagascar,Nintendo DS,2005.0,Platform,Activision,,,,,,,5860
The King of Fighters XIII,Sony PS3,2011.0,Fighting,Rising Star Games,77.0,26.0,8.2,76.0,SNK Playmore,T,5861
Sniper Elite 3,Xbox360,2014.0,Shooter,505 Games,,,6.6,26.0,Rebellion,M,5862
Super Robot Taisen OG: Original Generations Gaiden,PS2,2007.0,Strategy,Banpresto,,,,,,,5863
Lego Batman 3: Beyond Gotham,Sony PS Vita,2014.0,Action,Warner Bros. Interactive Entertainment,,,7.7,12.0,TT Games,E10+,5864
Decathlete,SAT,1994.0,Sports,Sega,,,,,,,5865
Tom Clancy's Splinter Cell 3D,Nintendo 3DS,2011.0,Action,Ubisoft,53.0,32.0,5.5,26.0,Ubisoft,T,5866
Magna Carta 2,Xbox360,2009.0,Role-Playing,Banpresto,69.0,49.0,7.0,57.0,"Banpresto, SoftMax",T,5867
Looney Tunes: Duck Amuck,Nintendo DS,2007.0,Action,Warner Bros. Interactive Entertainment,66.0,16.0,,,WayForward,E,5868
Shin Megami Tensei: Persona 2: Innocent Sin,Sony PSP,2011.0,Role-Playing,Atlus,,,,,,,5869
Romance of the Three Kingdoms VIII,PS2,2002.0,Strategy,Tecmo Koei,77.0,14.0,8.9,17.0,Koei,E,5870
Fossil Fighters (JP sales),Nintendo DS,2008.0,Role-Playing,Nintendo,,,,,,,5871
Daikaijyuu Monogatari,SNES,1994.0,Role-Playing,Hudson Soft,,,,,,,5872
Hard Hitter Tennis,PS2,2001.0,Sports,Midas Interactive Entertainment,,,,,Mahou,E,5873
F1 2013,Xbox360,2013.0,Racing,Codemasters,79.0,29.0,6.6,33.0,Codemasters,E,5874
Harvest Moon: The Tale of Two Towns,Nintendo 3DS,,Simulation,Unknown,,,,,,,5875
Quake II,N64,1999.0,Shooter,Activision,,,,,,,5876
Monster Truck Madness 64,N64,1999.0,Racing,Take-Two Interactive,,,,,,,5877
Crazy Taxi: Catch a Ride,GBA,2003.0,Racing,THQ,48.0,14.0,5.9,8.0,Graphic State,E,5878
Nounai Aeshe: IQ Suppli DS,Nintendo DS,2006.0,Misc,Spike,,,,,,,5879
Final Fantasy XI: Wings of the Goddess,Xbox360,2007.0,Role-Playing,Square Enix,63.0,4.0,5.8,5.0,Square Enix,T,5880
