Year_of_Release,Genre,Sales
2000.0,Sports,79.1
2000.0,Strategy,16.7
2001.0,Action,116.86
2001.0,Adventure,16.28
2001.0,Fighting,33.34
2001.0,Misc,30.54
2001.0,Platform,76.24
2001.0,Puzzle,15.879999999999999
2001.0,Racing,105.53999999999999
2001.0,Role-Playing,43.76
2001.0,Shooter,41.56
2001.0,Simulation,37.2
2001.0,Sports,97.5
2001.0,Strategy,15.02
2002.0,Action,163.82
2002.0,Adventure,21.96
2002.0,Fighting,46.64
2002.0,Misc,29.68
2002.0,Platform,88.48
2002.0,Puzzle,6.74
2002.0,Racing,56.18
2002.0,Role-Playing,87.76
2002.0,Shooter,89.3
2002.0,Simulation,20.82
2002.0,Sports,125.3
2002.0,Strategy,10.98
2003.0,Action,120.3
2003.0,Adventure,3.2
2003.0,Fighting,45.660000000000004
2003.0,Misc,46.6
2003.0,Platform,80.72
2003.0,Puzzle,4.8
2003.0,Racing,98.86
2003.0,Role-Playing,60.06
2003.0,Shooter,52.92
2003.0,Simulation,41.800000000000004
2003.0,Sports,103.3
2003.0,Strategy,13.6
2004.0,Action,147.92000000000002
2004.0,Adventure,15.58
2004.0,Fighting,29.3
2004.0,Misc,62.08
2004.0,Platform,88.2
2004.0,Puzzle,16.8
2004.0,Racing,91.24
2004.0,Role-Playing,106.72
2004.0,Shooter,89.08
2004.0,Simulation,19.080000000000002
2004.0,Sports,122.34
2004.0,Strategy,13.200000000000001
2005.0,Action,167.72
2005.0,Adventure,16.38
2005.0,Fighting,37.84
2005.0,Misc,120.36
2005.0,Platform,45.52
2005.0,Puzzle,39.96
2005.0,Racing,110.98
2005.0,Role-Playing,54.06
2005.0,Shooter,71.76
2005.0,Simulation,97.80000000000001
2005.0,Sports,115.84
2005.0,Strategy,10.36
2006.0,Action,126.74000000000001
2006.0,Adventure,21.54
2006.0,Fighting,44.32
2006.0,Misc,132.14
2006.0,Platform,96.7
2006.0,Puzzle,20.78
2006.0,Racing,63.78
2006.0,Role-Playing,109.39999999999999
2006.0,Shooter,74.96000000000001
